B,C,D,E,F,G,H,I,J,K,L,N
1,4748.735,4742.424364,-71.15,51.46799431,40.90753525,37.94577568,87.1149301,-48.53200569,36.02573267,26.90298497,4780.52
1,4754.255,4771.176182,151.15,97.98769015,43.43704709,54.12112525,85.91608288,-2.012309851,4.705794616,170.3114042,4906.87
1,4784.986,4827.317091,321.83,98.79970152,48.68266326,71.05064869,94.50928061,-1.200298476,4.624989731,225.6976998,5063.03
1,4820.65,4884.199636,449.43,93.05926521,54.80849946,73.76902775,110.8619591,-6.940734791,46.78333124,171.5797339,5097.84
1,4862.3,4928.610545,307.54,86.90860868,63.07211262,80.16542094,124.2048666,-13.09139132,59.42165942,112.1754875,5064.91
1,4891.317,4962.290545,245.26,81.3442546,66.71834462,74.23050587,130.8420594,-18.6557454,80.12267151,83.54006605,5047.54
1,4908.246,4976.882,273.29,65.13939549,67.46642357,63.43934077,132.3154855,-34.86060451,95.22798742,46.65511476,4971.57
1,4938.275,4993.304545,290.77,70.89865831,71.74917703,77.15934374,127.3952041,-29.10134169,17.85846268,22.23649599,4998.57
1,4970.559,5010.098182,286.54,76.83874118,76.35509951,78.05450311,124.3158669,-23.16125882,17.01112878,36.06131502,5030.64
1,4996.726,5016.500182,225.25,67.63018811,79.00744976,73.19975175,122.2190077,-32.36981189,87.83214517,26.49078182,5005.77
1,5013.59,5007.851818,42.29,47.78455227,78.63910555,64.43489574,116.7390712,-52.21544773,93.15178571,-48.33860185,4949.16
1,5009.486,4980.986364,-197.2,4.15539097,69.25587563,46.20786517,106.2118693,-95.84460903,89.11482138,-200.03894,4865.83
1,4994.359,4963.218,-186.08,21.30014806,61.50592029,32.44679617,91.98105149,-78.69985194,18.31823712,-134.2244297,4911.76
1,4978.598,4953.376364,-124.68,32.15409658,55.41540343,31.43799317,83.19402471,-67.84590342,25.62670477,-75.96760261,4940.23
1,4961.22,4937.473091,-156.41,14.91714778,48.21625734,30.2845344,76.50755663,-85.08285222,85.21976985,-73.1472703,4891.13
1,4938.839,4912.474909,-147.84,7.896448995,40.87147678,27.19714722,66.21475735,-92.10355101,65.96812279,-142.7635968,4823.73
1,4918.805,4882.000545,-227.34,2.597402597,34.61727749,28.56317411,52.23548602,-97.4025974,93.32061069,-139.4546174,4771.23
1,4902.802,4867.406909,-192.1,31.50210344,30.677622,34.23629307,38.23748112,-68.49789656,11.42037053,-106.6683553,4838.54
1,4881.953,4852.742909,-183.62,26.432195,25.63696738,28.80811531,30.99010107,-73.567805,66.41039722,-71.89540986,4822.15
1,4870.835,4855.040545,-54.57,49.8405884,23.85800741,39.69563283,24.93971799,-50.1594116,9.9030837,3.866261779,4894.59
1,4874.823,4876.532364,123.21,95.68844564,28.64839675,53.45389039,26.01309876,-4.311554359,12.22186391,132.3209841,4989.04
1,4892.722,4907.440909,133.06,98.17115912,38.04997356,66.27862561,33.5312236,-1.828840884,9.67633176,160.5351222,5044.82
1,4917.631,4956.191455,220.62,98.67166054,45.78712481,70.09211609,44.36292354,-1.328339459,6.818724624,181.4918022,5160.85
1,4942.216,5005.000364,294.95,96.04804753,52.17651991,69.93496911,60.28272753,-3.951952465,22.89216293,140.9342239,5186.08
1,4975.293,5055.852,398.17,95.12979374,60.1977845,77.41112124,74.23477284,-4.870206258,36.25218914,121.0393433,5221.9
1,5015.51,5101.416909,454.67,94.89631627,68.89777123,87.24141124,86.71580027,-5.103683731,34.01422107,95.2349714,5225.9
1,5051.559,5122.546,293.18,75.04036777,76.14206775,80.98963258,94.40125295,-24.95963223,95.18255578,62.07881288,5131.72
